symbol,weekday,n,mean_bps,std_bps,t,sig95,sig99
BTCUSDT,Mon,333,37.82030438343093,380.29486770202305,1.8147912311685135,False,False
BTCUSDT,Tue,333,7.479680869771553,295.5299969979877,0.4618528372286816,False,False
BTCUSDT,Wed,333,43.72755067169358,345.40850569277546,2.310171600152269,True,False
BTCUSDT,Thu,334,-29.704322988025087,432.31310375213667,-1.2557248604948474,False,False
BTCUSDT,Fri,334,7.105840807314908,329.59812768312435,0.39400703040216456,False,False
BTCUSDT,Sat,334,2.5948726933353425,185.27281280105515,0.2559632372873145,False,False
BTCUSDT,Sun,333,1.981787602395143,244.43872337756238,0.14794804036313244,False,False
ETHUSDT,Mon,333,36.11663997940112,487.7752603526276,1.3511690459340966,False,False
ETHUSDT,Tue,333,-7.917537966869458,379.4887180954402,-0.3807267592996654,False,False
ETHUSDT,Wed,333,52.91697748149072,472.93556982154075,2.0418092550905382,True,False
ETHUSDT,Thu,334,-35.06046777057274,553.0770653047197,-1.1585246793165918,False,False
ETHUSDT,Fri,334,6.75254232132372,429.6437116728287,0.2872315146752332,False,False
ETHUSDT,Sat,334,24.227036716852,310.4105899349734,1.4263857836807872,False,False
ETHUSDT,Sun,333,6.625575747309197,364.79453552721327,0.3314342730419974,False,False
SOLUSDT,Mon,301,-0.9791027058998052,630.6134434221821,-0.026936940922870023,False,False
SOLUSDT,Tue,301,-15.209726800806125,526.0415138205797,-0.5016313174190078,False,False
SOLUSDT,Wed,302,27.613469145520405,773.6882683726384,0.620238086897126,False,False
SOLUSDT,Thu,302,-17.579060555122215,611.6783839836281,-0.49943158023999096,False,False
SOLUSDT,Fri,302,36.787128696670386,640.432942340647,0.998218697352777,False,False
SOLUSDT,Sat,302,30.234067500337503,510.37401795605285,1.0294647785726818,False,False
SOLUSDT,Sun,302,47.017235525881006,522.5214447263402,1.5637108256712648,False,False
EUR_USD,Mon,330,2.233044951301349,43.5339678784458,0.9318074598300797,False,False
EUR_USD,Tue,333,-0.10708308039812145,45.995927454471655,-0.042483823141908225,False,False
EUR_USD,Wed,331,0.28842488521928716,48.00676125477845,0.10930607953341633,False,False
EUR_USD,Thu,331,-0.48754250597478954,52.321768331645934,-0.16952902669601058,False,False
EUR_USD,Fri,332,-0.7774916372887535,44.83982532635728,-0.31593726640570635,False,False
GBP_USD,Mon,330,3.5824549089324185,48.38169549353588,1.3451063377905004,False,False
GBP_USD,Tue,333,1.7413822941553674,52.40244907254955,0.6064076292587864,False,False
GBP_USD,Wed,331,0.5963876622501558,55.13422005447778,0.19679833147825826,False,False
GBP_USD,Thu,331,-1.345225968792725,62.98658152217947,-0.38856278292279467,False,False
GBP_USD,Fri,332,-3.892902511306046,56.72523759769585,-1.2504497560986285,False,False
USD_JPY,Mon,330,7.301289463697458,54.38826959075786,2.438660225427172,True,False
USD_JPY,Tue,333,2.828584044385885,56.68387221185613,0.910608487085208,False,False
USD_JPY,Wed,331,5.65596713926702,58.474726459147085,1.7597568952815332,False,False
USD_JPY,Thu,331,-5.13346138737585,64.79077817454485,-1.441488229502251,False,False
USD_JPY,Fri,333,0.9146364202553418,63.93150768324985,0.2610692136437573,False,False
XAU_USD,Mon,329,3.0417314449132027,113.10326181462855,0.48780212355131564,False,False
XAU_USD,Tue,333,7.451713270193999,115.06180010970324,1.1818084426780913,False,False
XAU_USD,Wed,331,6.93982634556312,100.04081972077715,1.2620755652895796,False,False
XAU_USD,Thu,331,6.746555406362718,103.21059369407142,1.1892463085359672,False,False
XAU_USD,Fri,324,8.651732824512663,119.74851772893592,1.3004853320501453,False,False
SPX500_USD,Mon,329,16.17983470458697,125.2304962076457,2.3434836508842167,True,False
SPX500_USD,Tue,333,3.4047923939458986,116.47604971569716,0.5334283824328749,False,False
SPX500_USD,Wed,331,10.754680765870217,126.23680432626766,1.5499779810723273,False,False
SPX500_USD,Thu,331,-6.362874695170599,134.22004738686104,-0.8624818801952503,False,False
SPX500_USD,Fri,327,1.1540757870436231,125.62348582824016,0.16612590721819973,False,False
NAS100_USD,Mon,329,24.070766256794283,148.86036081635163,2.9329779450927993,True,True
NAS100_USD,Tue,333,5.36837658465332,143.2292403102672,0.6839642492047502,False,False
NAS100_USD,Wed,331,15.986327079411401,162.68724173815818,1.7877599145692218,False,False
NAS100_USD,Thu,331,-7.1618877326835495,165.10082437527166,-0.7892094266242765,False,False
NAS100_USD,Fri,327,-1.9524148621172475,152.3965921146791,-0.23167049457651775,False,False
US30_USD,Mon,329,12.946651781478591,128.01952978995593,1.834337262903592,False,False
US30_USD,Tue,333,1.416974475380792,114.24103987195373,0.2263403568865253,False,False
US30_USD,Wed,331,7.914429509779965,116.13911676176664,1.2398098813331853,False,False
US30_USD,Thu,331,-6.3998803156216475,126.87036903505783,-0.9177526476086465,False,False
US30_USD,Fri,327,1.0958140567897814,120.47505648640947,0.1644801922266376,False,False
UK100_GBP,Mon,300,4.567620275988146,131.22169237670568,0.6028995850001444,False,False
UK100_GBP,Tue,330,6.4009347020234655,101.95477088199769,1.1404934982140118,False,False
UK100_GBP,Wed,331,15.098952861716137,103.16190896677712,2.6628178293688762,True,True
UK100_GBP,Thu,329,-15.260898583832274,111.85104001208947,-2.474788154594627,True,False
UK100_GBP,Fri,322,-0.9903592545481759,112.21118524949081,-0.1583742424015005,False,False
DE30_EUR,Mon,322,8.437129536741713,152.79309144238792,0.9908751451020623,False,False
DE30_EUR,Tue,330,7.256258987505579,119.37140866098403,1.1042551314111266,False,False
DE30_EUR,Wed,328,13.848607046873843,130.19912340622994,1.9263489208740094,False,False
DE30_EUR,Thu,327,-8.551768193739493,137.70014069748183,-1.1230404849275166,False,False
DE30_EUR,Fri,320,-2.282460271184339,123.27420551523771,-0.3312119547461969,False,False
JP225_USD,Mon,329,20.060203224302043,146.0432210187508,2.491448271203419,True,False
JP225_USD,Tue,333,2.525661636665644,132.65156571292806,0.34744407015071205,False,False
JP225_USD,Wed,331,15.41629304596837,137.79041418120198,2.035518006071232,True,False
JP225_USD,Thu,331,-8.568735702250926,147.07189265097736,-1.0599882790315671,False,False
JP225_USD,Fri,327,0.3477032202240005,148.61388697598318,0.04230806822080176,False,False
